,address,categories,city,country,latitude,longitude,name,postalCode,province,websites
50,59 W Main St,Fast Food Restaurants,Spencer,US,42.23341,-72.012516,McDonald's,1562,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
51,59 W Main St,Fast Food,Spencer,US,42.23341,-72.012516,McDonald's,1562,MA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
52,1433 SW 107th Ave,Fast Food Restaurant,Miami,US,25.754984,-80.368058,Five Guys,33174,FL,http://fiveguys.com
53,1601 W Kirby St,Fast Food Restaurant and Mexican Restaurant,Wylie,US,33.007329,-96.554127,Taco Bell,75098,TX,http://www.tacobell.com
54,7425 S Broadway Ave,Fast Food Restaurant,Tyler,US,32.274786,-95.306757,Taco Bell,75703,TX,"https://locations.tacobell.com/tx/tyler/7425-s--broadway.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=028285andutm_content=website,http://www.tacobell.com"
55,100 Business Loop 70 E,Fast Food Restaurants,Columbia,US,38.964944,-92.336364,Burger King,65203,MO,https://locations.bk.com/mo/columbia/100-east-bus-loop-70.html
56,615 Martin Luther King Jr Blvd,Fast Food Restaurant and Burger Joint,Savannah,US,32.070343,-81.101032,Wendy's,31401,GA,http://www.wendys.com
57,1123 Roswell Rd,Fast Food Restaurant and Burger Joint,Marietta,US,33.95111,-84.518962,Wendy's,30062,GA,http://www.wendys.com
58,273 Keys Ferry St,Fast Food Restaurants,McDonough,US,33.446887,-84.138326,Wendy's,30253,GA,http://www.wendys.com
59,1117 W Spring St,Fast Food Restaurant,Monroe,US,33.792748,-83.731443,Wendy's,30655,GA,"http://www.wendys.com,http://wendys.com"
60,430 S Belair Rd,Fast Food Restaurants,Augusta,US,33.486344,-82.13351,Wendy's,30907,GA,"http://wendys.com,http://www.wendys.com"
61,2341 N Columbia St,Fast Food Restaurant,Milledgeville,US,33.108582,-83.254192,Wendy's,31061,GA,"http://www.wendys.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJYD3APfFyZb1SUEABa1jmpS3OwA6Ks1I57XZf6k02m5Dvu9lByiHtpkoNNoG8cU_ZaobcdIQRWWL0md66ueT5A43ZGYiNwtovEGOgxdPQDfBzBm_AmXzmBTBk62JzmDO7Dtx-HHkNoox5ES3Ec5dXFLuW5rWaPa1RvXLXPzhDXm3S_YlAKU2Boro-4PLACNUmcza8nrVy_fzm0xyTULUoEEZ9wFukyZHufUtWn-LoyAAUrKHW_eNWV5yj61VM-YKgztWPxr1m69CU3Xcnsy9RtabxZMeaeGXJWfgH0dotSNjDkyPtXFSEVmYtKsAZJBPQgMVY7eZIMgUPPdIqHv5K0g&placement=listing_profile&cs_user=unknown&cs_session=e403c58902631e046092996f08c79277aa889e60"
62,260 Cooper Rd,Fast Food Restaurant and Burger Joint,Loganville,US,33.880381,-83.939657,Wendy's,30052,GA,"http://www.wendys.com,http://wendys.com"
63,4331 Atlanta Hwy,Fast Food Restaurant,Loganville,US,33.839726,-83.905798,Wendy's,30052,GA,http://www.wendys.com
64,3015 Panola Rd,Fast Food Restaurant,Lithonia,US,33.699522,-84.17274,Wendy's,30038,GA,http://www.wendys.com
65,184 Endicott St,Fast food restaurants,Danvers,US,42.547923,-70.942014,Burger King,1923,MA,http://www.bk.com
66,1291 Boston Rd,Fast Food Restaurants,Springfield,US,42.140526,-72.50087,Boston Road Pizza,1119,MA,http://bostonroadpizza.com
67,6134 State Route 14,Fast Food Restaurant,Ravenna,US,41.157059,-81.219054,McDonald's,44266,OH,http://mcdonalds.com
68,4402 Little Rd,Fast Food Restaurant,Arlington,US,32.679467,-97.195027,Boston Market,76016,TX,"http://www.bostonmarket.com,http://bostonmarket.com"
69,15 Highland Ave,Fast Food Restaurants,Attleboro,US,41.92023235,-71.35787658,D'Angelo Grilled Sandwiches,2703,MA,"http://www.dangelos.com,http://dangelos.com"
70,2992 Jamacha Rd,Fast Food,El Cajon,US,32.739923,-116.942156,Burger King,92019,CA,"http://www.burgerking.com/,http://www.bk.com"
71,706 Fletcher Pkwy,Fast Food Restaurants,El Cajon,US,32.80827,-116.97137,Boston Market,92020,CA,"http://www.bostonmarket.com,https://bostonmarket.com/location/el-cajon-ca-735/?utm_source=Yextandutm_medium=clickandutm_campaign=listingsandutm_content=735"
72,706 Fletcher Pkwy,Fast Food Restaurant,El Cajon,US,32.80827,-116.97137,Boston Market,92020,CA,"http://www.bostonmarket.com,https://bostonmarket.com/location/el-cajon-ca-735/?utm_source=Yextandutm_medium=clickandutm_campaign=listingsandutm_content=735"
73,822 N Johnson Ave,Fast food restaurants,El Cajon,US,32.805945,-116.971542,Burger King,92020,CA,http://www.burgerking.com/
74,2819 Easton Rd,Fast Food Restaurants,Willow Grove,US,40.170877,-75.127393,Nino's Pizzarama,19090,PA,"http://www.ninospizzarama.com,http://ninospizzarama.net"
75,8924 Sierra Ave,Fast Food Restaurant,Fontana,US,34.091528,-117.43637,Carl's Jr,92335,CA,http://www.carlsjr.com
76,18025 Ventura Blvd,Fast Food,Encino,US,34.16469,-118.52474,Carl's Jr,91316,CA,http://www.carlsjr.com/
77,242 N El Camino Real,Fast food restaurants,Encinitas,US,33.051949,-117.260994,Burger King,92024,CA,http://www.burgerking.com/
78,9002 Firestone Blvd,Fast Food Restaurant,Downey,US,33.93527552,-118.1238946,Carl's Jr,90241,CA,http://www.carlsjr.com
79,9110 Imperial Hwy,Fast Food Restaurants,Downey,US,33.91684597,-118.1337577,Carl's Jr,90242,CA,http://www.carlsjr.com
